"location","pollster","partisan","polldate","samplesize","margin_poll","electiondate","cand1_actual","cand2_actual","margin_actual","error","rightcall","candidate","percent","type"
"IA","Gravis Marketing","",2016-01-12,461,21,2016-02-01,49.83,49.63,0.2,20.8,1,"clinton",57,"dem"
"IA","Iowa State University","",2016-01-14,356,2.4,2016-02-01,49.83,49.63,0.2,2.2,1,"clinton",47.4,"dem"
"IA","Loras College","",2016-01-16,500,29,2016-02-01,49.83,49.63,0.2,28.8,1,"clinton",59,"dem"
"IA","CNN/Opinion Research Corp.","",2016-01-18,280,-8,2016-02-01,49.83,49.63,0.2,8.2,0,"clinton",43,"dem"
"IA","Douglas Fulmer & Associates","",2016-01-19,570,9,2016-02-01,49.83,49.63,0.2,8.8,1,"clinton",48,"dem"
"IA","Emerson College","",2016-01-19,258,9,2016-02-01,49.83,49.63,0.2,8.8,1,"clinton",52,"dem"
"IA","Fox News/Anderson Robbins Research/Shaw & Company Research","",2016-01-20,423,6,2016-02-01,49.83,49.63,0.2,5.8,1,"clinton",48,"dem"
"IA","YouGov","",2016-01-20,490,-1,2016-02-01,49.83,49.63,0.2,1.2,0,"clinton",46,"dem"
"IA","Quinnipiac University","",2016-01-21,606,-4,2016-02-01,49.83,49.63,0.2,4.2,0,"clinton",45,"dem"
"IA","American Research Group","",2016-01-23,400,-3,2016-02-01,49.83,49.63,0.2,3.2,0,"clinton",45,"dem"
"IA","Marist College","",2016-01-25,426,3,2016-02-01,49.83,49.63,0.2,2.8,1,"clinton",48,"dem"
"IA","Monmouth University","",2016-01-25,504,5,2016-02-01,49.83,49.63,0.2,4.8,1,"clinton",47,"dem"
"IA","Gravis Marketing","",2016-01-27,810,11,2016-02-01,49.83,49.63,0.2,10.8,1,"clinton",53,"dem"
"IA","Public Policy Polling","",2016-01-27,851,8,2016-02-01,49.83,49.63,0.2,7.8,1,"clinton",48,"dem"
"IA","Quinnipiac University","",2016-01-28,919,-3,2016-02-01,49.83,49.63,0.2,3.2,0,"clinton",46,"dem"
"IA","Selzer & Company","",2016-01-28,602,3,2016-02-01,49.83,49.63,0.2,2.8,1,"clinton",45,"dem"
"IA","Overtime Politics","",2016-01-29,407,-1,2016-02-01,49.83,49.63,0.2,1.2,0,"clinton",47,"dem"
"IA","Emerson College","",2016-01-30,300,8,2016-02-01,49.83,49.63,0.2,7.8,1,"clinton",51,"dem"
"NH","University of Massachusetts Lowell","",2016-02-02,420,22,2016-02-09,60.15,37.67,22.48,0.48,1,"clinton",36,"dem"
"NH","Gravis Marketing","",2016-02-03,702,16,2016-02-09,60.15,37.67,22.48,6.48,1,"clinton",42,"dem"
